Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1uF/10V","C_0805_2012Metric",148.590000,-117.255000,270.000000,top
"C2","330uF/6.3V","CP_EIA-3528-15_AVX-H",105.410000,-121.700000,0.000000,top
"C3","1uF","C_0805_2012Metric",98.425000,-122.970000,180.000000,top
"C4","330uF/6.3V","CP_EIA-3528-15_AVX-H",104.775000,-111.540000,90.000000,top
"C5","1uF","C_0805_2012Metric",121.920000,-108.365000,90.000000,top
"D1","LED","LED_0805_2012Metric",119.380000,-136.305000,90.000000,top
"D2","1N5820/SS34","D_SMA",92.075000,-115.985000,270.000000,top
"D3","ZMM5V6","D_MiniMELF",104.140000,-127.415000,270.000000,top
"IC1","XL1509-ADJE1","SOIC127P600X175-8N",98.425000,-118.525000,180.000000,top
"L1","33uH","L_TDK_SLF7045",98.425000,-110.905000,90.000000,top
"Q1","AO3401A","SOT-23",100.330000,-127.415000,180.000000,top
"R1","4k7","R_0805_2012Metric",120.015000,-121.700000,270.000000,top
"R2","1k","R_0805_2012Metric",119.380000,-132.495000,270.000000,top
"R3","100R","R_0805_2012Metric",110.490000,-138.845000,180.000000,top
"R4","100R","R_0805_2012Metric",97.790000,-138.845000,180.000000,top
"R5","10k","R_0805_2012Metric",109.855000,-121.700000,270.000000,top
"R6","10k","R_0805_2012Metric",112.395000,-121.700000,270.000000,top
"R7","10k","R_0805_2012Metric",148.590000,-113.445000,270.000000,top
"R8","100R","R_0805_2012Metric",123.190000,-138.845000,180.000000,top
"R9","10k","R_0805_2012Metric",114.935000,-121.700000,270.000000,top
"R10","100R","R_0805_2012Metric",135.890000,-138.845000,180.000000,top
"R11","10k","R_0805_2012Metric",117.475000,-121.700000,270.000000,top
"R12","100R","R_0805_2012Metric",100.330000,-130.590000,180.000000,top
"R20","2k7","R_0805_2012Metric",104.775000,-115.350000,0.000000,top
"R21","1k6","R_0805_2012Metric",104.775000,-117.890000,0.000000,top
"U1","ESP32-WROOM-E","ESP32-WROOM-32E",133.985000,-114.715000,0.000000,top
